(525 412.5), (534.375 421.875)
(487.5 375), (525 412.5)
(515.625 412.5), (525 421.875)
(525 375), (562.5 412.5)
(534.375 412.5), (543.75 421.875)
(525 421.875), (534.375 431.25)
(534.375 421.875), (543.75 431.25)
