(262.5 337.5), (300 375)
(225 300), (262.5 337.5)
(262.5 318.75), (281.25 337.5)
(225 337.5), (262.5 375)
(225 375), (300 450)
(300 337.5), (337.5 375)
(300 375), (337.5 412.5)
