(375 300), (384.375 309.375)
(337.5 262.5), (375 300)
(375 290.625), (384.375 300)
(365.625 300), (375 309.375)
(384.375 300), (393.75 309.375)
(375 309.375), (384.375 318.75)
(384.375 309.375), (393.75 318.75)
