(206.25 562.5), (225 581.25)
(187.5 525), (225 562.5)
(187.5 562.5), (206.25 581.25)
(215.625 581.25), (225 590.625)
(225 562.5), (243.75 581.25)
(225 581.25), (234.375 590.625)
