(196.875 140.625), (206.25 150)
(187.5 131.25), (196.875 140.625)
(196.875 131.25), (206.25 140.625)
(187.5 140.625), (196.875 150)
(206.25 140.625), (215.625 150)
(150 150), (225 225)
