(225 37.5), (262.5 75)
(206.25 18.75), (225 37.5)
(187.5 37.5), (225 75)
(225 18.75), (243.75 37.5)
(262.5 37.5), (300 75)
(225 75), (262.5 112.5)
(262.5 75), (300 112.5)
