(487.5 37.5), (525 75)
(468.75 18.75), (487.5 37.5)
(487.5 18.75), (506.25 37.5)
(450 37.5), (487.5 75)
(525 37.5), (562.5 75)
(450 75), (525 150)
(525 75), (562.5 112.5)
