(328.125 225), (337.5 234.375)
(300 150), (375 225)
(318.75 225), (328.125 234.375)
(328.125 234.375), (337.5 243.75)
(337.5 225), (346.875 234.375)
(337.5 234.375), (346.875 243.75)
