(581.25 365.625), (590.625 375)
(562.5 356.25), (581.25 375)
(581.25 356.25), (590.625 365.625)
(590.625 365.625), (600 375)
(581.25 375), (590.625 384.375)
(590.625 375), (600 384.375)
