(393.75 37.5), (403.125 46.875)
(384.375 28.125), (393.75 37.5)
(393.75 28.125), (403.125 37.5)
(384.375 37.5), (393.75 46.875)
(403.125 37.5), (412.5 46.875)
(393.75 46.875), (403.125 56.25)
(403.125 46.875), (412.5 56.25)
