(9.375 225), (18.75 234.375)
(0 215.625), (9.375 225)
(9.375 215.625), (18.75 225)
(0 225), (9.375 234.375)
(9.375 234.375), (18.75 243.75)
(18.75 225), (37.5 243.75)
