(9.375 300), (18.75 309.375)
(0 290.625), (9.375 300)
(9.375 290.625), (18.75 300)
(0 300), (9.375 309.375)
(9.375 309.375), (18.75 318.75)
(18.75 300), (37.5 318.75)
