(75 225), (112.5 262.5)
(37.5 187.5), (75 225)
(75 150), (150 225)
(37.5 225), (75 262.5)
(112.5 225), (150 262.5)
(75 262.5), (112.5 300)
(112.5 262.5), (131.25 281.25)
