(562.5 206.25), (581.25 225)
(525 187.5), (562.5 225)
(562.5 187.5), (581.25 206.25)
(581.25 206.25), (590.625 215.625)
(581.25 215.625), (590.625 225)
(562.5 225), (581.25 243.75)
(581.25 225), (590.625 234.375)
