(75 581.25), (84.375 590.625)
(56.25 562.5), (75 581.25)
(65.625 581.25), (75 590.625)
(75 562.5), (93.75 581.25)
(84.375 581.25), (93.75 590.625)
(75 590.625), (84.375 600)
(84.375 590.625), (93.75 600)
