(37.5 75), (75 112.5)
(18.75 56.25), (37.5 75)
(37.5 37.5), (75 75)
(18.75 75), (37.5 93.75)
(18.75 93.75), (37.5 112.5)
(37.5 112.5), (75 150)
(75 75), (112.5 112.5)
(75 112.5), (112.5 150)
