(225 300), (262.5 337.5)
(187.5 262.5), (225 300)
(225 262.5), (262.5 300)
(187.5 300), (225 337.5)
(262.5 300), (271.875 309.375)
(262.5 309.375), (271.875 318.75)
(262.5 318.75), (281.25 337.5)
(225 337.5), (262.5 375)
(262.5 337.5), (300 375)
