(375 281.25), (384.375 290.625)
(337.5 262.5), (375 300)
(375 271.875), (384.375 281.25)
(384.375 281.25), (393.75 290.625)
(375 290.625), (384.375 300)
(384.375 290.625), (393.75 300)
