(187.5 140.625), (196.875 150)
(178.125 131.25), (187.5 140.625)
(178.125 140.625), (187.5 150)
(187.5 131.25), (196.875 140.625)
(196.875 140.625), (206.25 150)
(150 150), (225 225)
