(37.5 375), (75 412.5)
(18.75 356.25), (37.5 375)
(37.5 337.5), (75 375)
(18.75 375), (37.5 393.75)
(18.75 393.75), (37.5 412.5)
(37.5 412.5), (75 450)
(75 375), (112.5 412.5)
(75 412.5), (112.5 450)
