(365.625 553.125), (375 562.5)
(356.25 543.75), (365.625 553.125)
(365.625 543.75), (375 553.125)
(356.25 553.125), (365.625 562.5)
(365.625 562.5), (375 571.875)
(375 525), (412.5 562.5)
(375 562.5), (393.75 581.25)
