(281.25 243.75), (300 262.5)
(271.875 234.375), (281.25 243.75)
(281.25 234.375), (290.625 243.75)
(262.5 243.75), (281.25 262.5)
(262.5 262.5), (300 300)
(300 243.75), (318.75 262.5)
(300 262.5), (337.5 300)
