(159.375 328.125), (168.75 337.5)
(150 318.75), (159.375 328.125)
(159.375 318.75), (168.75 328.125)
(150 328.125), (159.375 337.5)
(168.75 318.75), (187.5 337.5)
(159.375 337.5), (168.75 346.875)
(168.75 337.5), (187.5 356.25)
