(412.5 337.5), (450 375)
(393.75 318.75), (412.5 337.5)
(412.5 300), (450 337.5)
(375 337.5), (412.5 375)
(375 375), (450 450)
(450 300), (525 375)
(450 375), (487.5 412.5)
