(384.375 215.625), (393.75 225)
(375 206.25), (384.375 215.625)
(384.375 206.25), (393.75 215.625)
(375 215.625), (384.375 225)
(393.75 215.625), (403.125 225)
(384.375 225), (393.75 234.375)
(393.75 225), (403.125 234.375)
