(375 37.5), (384.375 46.875)
(356.25 18.75), (375 37.5)
(337.5 37.5), (375 75)
(375 28.125), (384.375 37.5)
(384.375 37.5), (393.75 46.875)
(375 46.875), (384.375 56.25)
(384.375 46.875), (393.75 56.25)
