(562.5 300), (581.25 318.75)
(525 262.5), (562.5 300)
(562.5 281.25), (581.25 300)
(525 300), (562.5 337.5)
(581.25 300), (590.625 309.375)
(581.25 309.375), (590.625 318.75)
(562.5 318.75), (581.25 337.5)
(581.25 318.75), (590.625 328.125)
