(150 281.25), (159.375 290.625)
(131.25 262.5), (150 281.25)
(140.625 281.25), (150 290.625)
(150 262.5), (168.75 281.25)
(159.375 281.25), (168.75 290.625)
(150 290.625), (159.375 300)
(159.375 290.625), (168.75 300)
