(18.75 262.5), (37.5 281.25)
(9.375 253.125), (18.75 262.5)
(18.75 243.75), (37.5 262.5)
(9.375 262.5), (18.75 271.875)
(9.375 271.875), (18.75 281.25)
(18.75 281.25), (37.5 300)
(37.5 262.5), (75 300)
