(243.75 581.25), (253.125 590.625)
(225 562.5), (243.75 581.25)
(243.75 562.5), (262.5 581.25)
(234.375 581.25), (243.75 590.625)
(253.125 581.25), (262.5 590.625)
(243.75 590.625), (253.125 600)
(253.125 590.625), (262.5 600)
