(75 150), (150 225)
(37.5 112.5), (75 150)
(75 112.5), (112.5 150)
(37.5 150), (75 187.5)
(37.5 187.5), (75 225)
(112.5 225), (150 262.5)
(150 150), (225 225)
(150 225), (187.5 262.5)
