(562.5 318.75), (581.25 337.5)
(525 300), (562.5 337.5)
(562.5 300), (581.25 318.75)
(581.25 318.75), (590.625 328.125)
(581.25 328.125), (590.625 337.5)
(562.5 337.5), (581.25 356.25)
(581.25 337.5), (590.625 346.875)
