(37.5 225), (75 262.5)
(18.75 206.25), (37.5 225)
(37.5 187.5), (75 225)
(18.75 225), (37.5 243.75)
(18.75 243.75), (37.5 262.5)
(37.5 262.5), (75 300)
(75 225), (112.5 262.5)
(75 262.5), (112.5 300)
