(468.75 468.75), (487.5 487.5)
(459.375 459.375), (468.75 468.75)
(468.75 459.375), (478.125 468.75)
(450 468.75), (468.75 487.5)
(487.5 468.75), (506.25 487.5)
(450 487.5), (487.5 525)
(487.5 487.5), (525 525)
