(525 525), (562.5 562.5)
(487.5 487.5), (525 525)
(525 487.5), (562.5 525)
(487.5 525), (525 562.5)
(562.5 525), (581.25 543.75)
(562.5 543.75), (581.25 562.5)
(543.75 562.5), (562.5 581.25)
(562.5 562.5), (581.25 581.25)
