(187.5 300), (225 337.5)
(168.75 281.25), (187.5 300)
(187.5 262.5), (225 300)
(168.75 300), (187.5 318.75)
(168.75 318.75), (187.5 337.5)
(187.5 337.5), (225 375)
(225 300), (262.5 337.5)
(225 337.5), (262.5 375)
