(525 187.5), (562.5 225)
(450 150), (525 225)
(525 150), (562.5 187.5)
(562.5 187.5), (581.25 206.25)
(562.5 206.25), (581.25 225)
(525 225), (562.5 262.5)
(562.5 225), (581.25 243.75)
