(75 18.75), (93.75 37.5)
(65.625 9.375), (75 18.75)
(56.25 18.75), (75 37.5)
(75 9.375), (84.375 18.75)
(93.75 18.75), (112.5 37.5)
(75 37.5), (112.5 75)
