(450 300), (525 375)
(412.5 262.5), (450 300)
(450 225), (525 300)
(412.5 300), (450 337.5)
(412.5 337.5), (450 375)
(525 300), (562.5 337.5)
(525 337.5), (562.5 375)
(487.5 375), (525 412.5)
(525 375), (562.5 412.5)
