(9.375 140.625), (18.75 150)
(0 131.25), (9.375 140.625)
(9.375 131.25), (18.75 140.625)
(0 140.625), (9.375 150)
(18.75 131.25), (37.5 150)
(9.375 150), (18.75 159.375)
(18.75 150), (37.5 168.75)
