(384.375 290.625), (393.75 300)
(375 281.25), (384.375 290.625)
(384.375 281.25), (393.75 290.625)
(375 290.625), (384.375 300)
(393.75 281.25), (412.5 300)
(384.375 300), (393.75 309.375)
(393.75 300), (412.5 318.75)
