(9.375 290.625), (18.75 300)
(0 281.25), (9.375 290.625)
(9.375 281.25), (18.75 290.625)
(0 290.625), (9.375 300)
(18.75 281.25), (37.5 300)
(9.375 300), (18.75 309.375)
(18.75 300), (37.5 318.75)
