(300 18.75), (318.75 37.5)
(290.625 9.375), (300 18.75)
(281.25 18.75), (300 37.5)
(300 9.375), (309.375 18.75)
(318.75 18.75), (337.5 37.5)
(300 37.5), (337.5 75)
