(506.25 468.75), (525 487.5)
(496.875 459.375), (506.25 468.75)
(506.25 459.375), (515.625 468.75)
(487.5 468.75), (506.25 487.5)
(487.5 487.5), (525 525)
(525 468.75), (543.75 487.5)
(525 487.5), (562.5 525)
