(581.25 300), (590.625 309.375)
(562.5 281.25), (581.25 300)
(581.25 290.625), (590.625 300)
(562.5 300), (581.25 318.75)
(590.625 300), (600 309.375)
(581.25 309.375), (590.625 318.75)
(590.625 309.375), (600 318.75)
