(487.5 487.5), (525 525)
(468.75 468.75), (487.5 487.5)
(487.5 468.75), (506.25 487.5)
(450 487.5), (487.5 525)
(525 487.5), (562.5 525)
(487.5 525), (525 562.5)
(525 525), (562.5 562.5)
