(450 150), (525 225)
(412.5 112.5), (450 150)
(450 75), (525 150)
(412.5 150), (450 187.5)
(412.5 187.5), (450 225)
(525 150), (562.5 187.5)
(525 187.5), (562.5 225)
(450 225), (525 300)
(525 225), (562.5 262.5)
