(562.5 281.25), (581.25 300)
(525 262.5), (562.5 300)
(562.5 262.5), (581.25 281.25)
(581.25 281.25), (590.625 290.625)
(581.25 290.625), (590.625 300)
(562.5 300), (581.25 318.75)
(581.25 300), (590.625 309.375)
