(412.5 150), (450 187.5)
(403.125 140.625), (412.5 150)
(412.5 112.5), (450 150)
(403.125 150), (412.5 159.375)
(403.125 159.375), (412.5 168.75)
(403.125 168.75), (412.5 178.125)
(403.125 178.125), (412.5 187.5)
(412.5 187.5), (450 225)
(450 150), (525 225)
