(393.75 281.25), (412.5 300)
(384.375 271.875), (393.75 281.25)
(393.75 262.5), (412.5 281.25)
(384.375 281.25), (393.75 290.625)
(384.375 290.625), (393.75 300)
(412.5 262.5), (450 300)
(393.75 300), (412.5 318.75)
(412.5 300), (450 337.5)
