(112.5 525), (131.25 543.75)
(75 487.5), (112.5 525)
(112.5 506.25), (131.25 525)
(75 525), (112.5 562.5)
(131.25 525), (140.625 534.375)
(131.25 534.375), (140.625 543.75)
(112.5 543.75), (131.25 562.5)
(131.25 543.75), (140.625 553.125)
