(187.5 262.5), (225 300)
(150 225), (187.5 262.5)
(187.5 225), (225 262.5)
(168.75 262.5), (187.5 281.25)
(168.75 281.25), (187.5 300)
(225 262.5), (262.5 300)
(187.5 300), (225 337.5)
(225 300), (262.5 337.5)
