(18.75 225), (37.5 243.75)
(9.375 215.625), (18.75 225)
(18.75 206.25), (37.5 225)
(9.375 225), (18.75 234.375)
(9.375 234.375), (18.75 243.75)
(18.75 243.75), (37.5 262.5)
(37.5 225), (75 262.5)
