(300 375), (337.5 412.5)
(262.5 337.5), (300 375)
(225 375), (300 450)
(300 337.5), (337.5 375)
(337.5 375), (375 412.5)
(300 412.5), (337.5 450)
(337.5 412.5), (346.875 421.875)
