(112.5 431.25), (131.25 450)
(75 412.5), (112.5 450)
(112.5 412.5), (131.25 431.25)
(131.25 431.25), (140.625 440.625)
(131.25 440.625), (140.625 450)
(112.5 450), (131.25 468.75)
(131.25 450), (140.625 459.375)
