(337.5 37.5), (375 75)
(318.75 18.75), (337.5 37.5)
(337.5 18.75), (356.25 37.5)
(300 37.5), (337.5 75)
(375 37.5), (384.375 46.875)
(375 46.875), (384.375 56.25)
(375 56.25), (384.375 65.625)
(375 65.625), (384.375 75)
(300 75), (375 150)
(375 75), (384.375 84.375)
