(168.75 468.75), (187.5 487.5)
(159.375 459.375), (168.75 468.75)
(168.75 450), (187.5 468.75)
(159.375 468.75), (168.75 478.125)
(159.375 478.125), (168.75 487.5)
(187.5 450), (225 487.5)
(168.75 487.5), (187.5 506.25)
(187.5 487.5), (225 525)
