(375 318.75), (393.75 337.5)
(365.625 309.375), (375 318.75)
(356.25 318.75), (375 337.5)
(375 309.375), (384.375 318.75)
(393.75 318.75), (412.5 337.5)
(375 337.5), (412.5 375)
