(450 562.5), (468.75 581.25)
(412.5 525), (450 562.5)
(431.25 562.5), (450 581.25)
(450 525), (487.5 562.5)
(468.75 562.5), (487.5 581.25)
(459.375 581.25), (468.75 590.625)
(468.75 581.25), (478.125 590.625)
