(131.25 515.625), (140.625 525)
(112.5 506.25), (131.25 525)
(131.25 506.25), (140.625 515.625)
(140.625 515.625), (150 525)
(131.25 525), (140.625 534.375)
(140.625 525), (150 534.375)
