(318.75 243.75), (337.5 262.5)
(309.375 234.375), (318.75 243.75)
(318.75 234.375), (328.125 243.75)
(300 243.75), (318.75 262.5)
(337.5 243.75), (356.25 262.5)
(300 262.5), (337.5 300)
(337.5 262.5), (375 300)
