(562.5 525), (581.25 543.75)
(525 487.5), (562.5 525)
(562.5 506.25), (581.25 525)
(525 525), (562.5 562.5)
(581.25 525), (590.625 534.375)
(581.25 534.375), (590.625 543.75)
(562.5 543.75), (581.25 562.5)
(581.25 543.75), (590.625 553.125)
