(384.375 75), (393.75 84.375)
(375 65.625), (384.375 75)
(384.375 65.625), (393.75 75)
(375 75), (384.375 84.375)
(384.375 84.375), (393.75 93.75)
(393.75 75), (403.125 84.375)
(393.75 84.375), (403.125 93.75)
