(75 300), (112.5 337.5)
(37.5 262.5), (75 300)
(75 262.5), (112.5 300)
(37.5 300), (75 337.5)
(112.5 300), (131.25 318.75)
(112.5 318.75), (131.25 337.5)
(75 337.5), (112.5 375)
(112.5 337.5), (131.25 356.25)
